name,slug,description,assets,facets,optionGroups,optionValues,sku,price,taxCategory,stockOnHand,trackInventory,variantAssets,variantFacets
Gorilla Glue #4,gorilla-glue,"Gorilla Glue #4 weed was developed by GG Strains and is a cross of Sour Dubble, Chocolate Diesel, and Chem's Sister. It is a multi-award-winning strain, having taken first place in both the Michigan and Los Angeles 2014 Cups, in addition to achieving an award at the prestigious High Times Jamaican World Cup.\n(Approx. THC content: 26%)\n\nPurchase is for merchandise celebrating this unique cannabis strain, accompanied by a free gift.",gg4.jpg,Strain/Effect:Indica|Category:Flower,"tSize",3.5g,GGFLWR-Sm,45.00,,999,false,,
,,,,,,7g,GGFLWR-Md,90.00,,999,false,,
,,,,,,14g,GGFLWR-Lg,135.00,,999,false,,
,,,,,,28g,GGFLWR-XL,250.00,,999,false,,
Recon,recon,"Recon is an Indica-dominant that produces light green buds with slight purple hues and red/brown pistils. Its scent and taste are reminiscent of melons, citrus, and fresh soil and undertones of diesel.\n(Approx. THC content: 25%)\n\nPurchase is for merchandise celebrating this unique cannabis strain, accompanied by a free gift.",recon.jpg,Strain/Effect:Indica|Category:Flower,"tSize",3.5g,RCFLWR-Sm,35.00,,999,false,,
,,,,,,7g,RCFLWR-Md,70.00,,999,false,,
,,,,,,14g,RCFLWR-Lg,130.00,,999,false,,
,,,,,,28g,RCFLWR-XL,220.00,,999,false,,
White Cookies,white-cookies,"White Cookies is an Indica-dominant hybrid. It's a cross between White Widow and Girl Scout Cookies that was originally bred by the Canadian seed bank, Crop King Seeds. The White Cookies strain is 60% indica and 40% sativa.\n(Approx. THC content: 30%)\n\nPurchase is for merchandise celebrating this unique cannabis strain, accompanied by a free gift.",whitecookies.jpg,Strain/Effect:Indica|Category:Flower,"tSize",3.5g,WCFLWR-Sm,40.00,,999,false,,
,,,,,,7g,WCFLWR-Md,80.00,,999,false,,
,,,,,,14g,WCFLWR-Lg,140.00,,999,false,,
,,,,,,28g,WCFLWR-XL,230.00,,999,false,,
Jelly Breath,jelly-breath,"Jelly Breath is a cross of Mendo Breath and Do-Si-Dos. Both strains share OG Kush Breath lineage, which brings forward a strong sedative high from head to toe. Dense buds are sugar-coated and often a rich purple hue.\n(Approx. THC content: 29%)\n\nPurchase is for merchandise celebrating this unique cannabis strain, accompanied by a free gift.",jellybreath.jpg,Strain/Effect:Indica|Category:Flower,"tSize",3.5g,JBFLWR-Sm,40.00,,999,false,,
,,,,,,7g,JBFLWR-Md,80.00,,999,false,,
,,,,,,14g,JBFLWR-Lg,140.00,,999,false,,
,,,,,,28g,JBFLWR-XL,230.00,,999,false,,
Wedding Cake,wedding-cake,"Wedding Cake is a hybrid with indica-dominance. It is attained by crossing Cherry Pie and Girl Scout Cookies (GSC). It gives an exceptionally sweet aromatic essence and a fruity flavour. The taste is a perfect combination of sweetness of cookies and fruitiness of a cherry pie.\n(Approx. THC content: 27%)\n\nPurchase is for merchandise celebrating this unique cannabis strain, accompanied by a free gift.",weddingcake.jpg,Strain/Effect:Indica|Category:Flower,"tSize",3.5g,WEFLWR-Sm,45.00,,999,false,,
,,,,,,7g,WEFLWR-Md,80.00,,999,false,,
,,,,,,14g,WEFLWR-Lg,130.00,,999,false,,
,,,,,,28g,WEFLWR-XL,240.00,,999,false,,
Sherbadough,sherbadough,"Bred from a cross of Sherbet and Do Si Dos, this hybrid’s genetics are decidedly indica-leaning. Users describe it as having a distinct Sunday Morning vibe, which is to say, it’s effects are so deeply calming and breezily blissful that consecutive full bowls should probably be reserved for a day free from heavy responsibilities.\n(Approx. THC content: 32%)\n\nPurchase is for merchandise celebrating this unique cannabis strain, accompanied by a free gift.",sherbadough.jpg,Strain/Effect:Indica|Category:Flower,"tSize",3.5g,SDFLWR-Sm,45.00,,999,false,,
,,,,,,7g,SDFLWR-Md,80.00,,999,false,,
,,,,,,14g,SDFLWR-Lg,130.00,,999,false,,
,,,,,,28g,SDFLWR-XL,240.00,,999,false,,
Mochi Gelato,mochi-gelato,"Mochi Gelato, also known as ""Gelato 47"" or simply ""Mochi,"" is a hybrid that promotes creativity and pain relief. Mochi is made by crossing Sunset Sherbet with Thin Mint Girl Scout Cookies. Mochi is known for having beautiful, dense buds with a frosty mixture of colors including purple, jade and bright red.\n(Approx. THC content: 36%)\n\nPurchase is for merchandise celebrating this unique cannabis strain, accompanied by a free gift.",mochi.jpg,Strain/Effect:Indica|Category:Flower,"tSize",3.5g,MGFLWR-Sm,45.00,,999,false,,
,,,,,,7g,MGFLWR-Md,80.00,,999,false,,
,,,,,,14g,MGFLWR-Lg,130.00,,999,false,,
,,,,,,28g,MGFLWR-XL,240.00,,999,false,,
